,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,KIMHAE
478,2019-10-11 00:00:00,2019,10,11,2,0,0,16
480,2019-10-11 01:00:00,2019,10,11,2,1,0,14
482,2019-10-11 02:00:00,2019,10,11,2,2,0,12
484,2019-10-11 03:00:00,2019,10,11,2,3,0,12
486,2019-10-11 04:00:00,2019,10,11,2,4,0,11
488,2019-10-11 05:00:00,2019,10,11,2,5,0,12
490,2019-10-11 06:00:00,2019,10,11,2,6,1,12
492,2019-10-11 07:00:00,2019,10,11,2,7,1,13
494,2019-10-11 08:00:00,2019,10,11,2,8,1,17
496,2019-10-11 09:00:00,2019,10,11,2,9,1,12
498,2019-10-11 10:00:00,2019,10,11,2,10,1,10
500,2019-10-11 11:00:00,2019,10,11,2,11,1,10
502,2019-10-11 12:00:00,2019,10,11,2,12,2,9
504,2019-10-11 13:00:00,2019,10,11,2,13,2,9
506,2019-10-11 14:00:00,2019,10,11,2,14,2,7
508,2019-10-11 15:00:00,2019,10,11,2,15,2,9
510,2019-10-11 16:00:00,2019,10,11,2,16,2,8
512,2019-10-11 17:00:00,2019,10,11,2,17,2,8
514,2019-10-11 18:00:00,2019,10,11,2,18,3,11
516,2019-10-11 19:00:00,2019,10,11,2,19,3,12
518,2019-10-11 20:00:00,2019,10,11,2,20,3,13
520,2019-10-11 21:00:00,2019,10,11,2,21,3,13
522,2019-10-11 22:00:00,2019,10,11,2,22,3,15
524,2019-10-11 23:00:00,2019,10,11,2,23,3,14
526,2019-10-12 00:00:00,2019,10,12,2,0,0,13
528,2019-10-12 01:00:00,2019,10,12,2,1,0,13
530,2019-10-12 02:00:00,2019,10,12,2,2,0,11
532,2019-10-12 03:00:00,2019,10,12,2,3,0,10
534,2019-10-12 04:00:00,2019,10,12,2,4,0,10
536,2019-10-12 05:00:00,2019,10,12,2,5,0,11
538,2019-10-12 06:00:00,2019,10,12,2,6,1,11
540,2019-10-12 07:00:00,2019,10,12,2,7,1,11
542,2019-10-12 08:00:00,2019,10,12,2,8,1,11
544,2019-10-12 09:00:00,2019,10,12,2,9,1,11
546,2019-10-12 10:00:00,2019,10,12,2,10,1,12
548,2019-10-12 11:00:00,2019,10,12,2,11,1,12
550,2019-10-12 12:00:00,2019,10,12,2,12,2,11
552,2019-10-12 13:00:00,2019,10,12,2,13,2,10
554,2019-10-12 14:00:00,2019,10,12,2,14,2,9
556,2019-10-12 15:00:00,2019,10,12,2,15,2,9
558,2019-10-12 16:00:00,2019,10,12,2,16,2,9
560,2019-10-12 17:00:00,2019,10,12,2,17,2,10
562,2019-10-12 18:00:00,2019,10,12,2,18,3,10
564,2019-10-12 19:00:00,2019,10,12,2,19,3,11
566,2019-10-12 20:00:00,2019,10,12,2,20,3,12
568,2019-10-12 21:00:00,2019,10,12,2,21,3,12
570,2019-10-12 22:00:00,2019,10,12,2,22,3,15
572,2019-10-12 23:00:00,2019,10,12,2,23,3,15
574,2019-10-13 00:00:00,2019,10,13,2,0,0,16
576,2019-10-13 01:00:00,2019,10,13,2,1,0,12
578,2019-10-13 02:00:00,2019,10,13,2,2,0,11
580,2019-10-13 03:00:00,2019,10,13,2,3,0,11
582,2019-10-13 04:00:00,2019,10,13,2,4,0,11
584,2019-10-13 05:00:00,2019,10,13,2,5,0,11
586,2019-10-13 06:00:00,2019,10,13,2,6,1,11
588,2019-10-13 07:00:00,2019,10,13,2,7,1,13
590,2019-10-13 08:00:00,2019,10,13,2,8,1,11
592,2019-10-13 09:00:00,2019,10,13,2,9,1,11
594,2019-10-13 10:00:00,2019,10,13,2,10,1,12
596,2019-10-13 11:00:00,2019,10,13,2,11,1,11
598,2019-10-13 12:00:00,2019,10,13,2,12,2,15
600,2019-10-13 13:00:00,2019,10,13,2,13,2,12
602,2019-10-13 14:00:00,2019,10,13,2,14,2,13
604,2019-10-13 15:00:00,2019,10,13,2,15,2,13
606,2019-10-13 16:00:00,2019,10,13,2,16,2,12
608,2019-10-13 17:00:00,2019,10,13,2,17,2,12
610,2019-10-13 18:00:00,2019,10,13,2,18,3,14
612,2019-10-13 19:00:00,2019,10,13,2,19,3,17
614,2019-10-13 20:00:00,2019,10,13,2,20,3,18
616,2019-10-13 21:00:00,2019,10,13,2,21,3,22
618,2019-10-13 22:00:00,2019,10,13,2,22,3,22
620,2019-10-13 23:00:00,2019,10,13,2,23,3,21
622,2019-10-14 00:00:00,2019,10,14,2,0,0,15
624,2019-10-14 01:00:00,2019,10,14,2,1,0,12
626,2019-10-14 02:00:00,2019,10,14,2,2,0,11
628,2019-10-14 03:00:00,2019,10,14,2,3,0,11
630,2019-10-14 04:00:00,2019,10,14,2,4,0,12
632,2019-10-14 05:00:00,2019,10,14,2,5,0,12
634,2019-10-14 06:00:00,2019,10,14,2,6,1,15
636,2019-10-14 07:00:00,2019,10,14,2,7,1,14
638,2019-10-14 08:00:00,2019,10,14,2,8,1,17
640,2019-10-14 09:00:00,2019,10,14,2,9,1,15
642,2019-10-14 10:00:00,2019,10,14,2,10,1,11
644,2019-10-14 11:00:00,2019,10,14,2,11,1,10
646,2019-10-14 12:00:00,2019,10,14,2,12,2,10
648,2019-10-14 13:00:00,2019,10,14,2,13,2,8
650,2019-10-14 14:00:00,2019,10,14,2,14,2,8
652,2019-10-14 15:00:00,2019,10,14,2,15,2,8
654,2019-10-14 16:00:00,2019,10,14,2,16,2,7
656,2019-10-14 17:00:00,2019,10,14,2,17,2,9
658,2019-10-14 18:00:00,2019,10,14,2,18,3,10
660,2019-10-14 19:00:00,2019,10,14,2,19,3,12
662,2019-10-14 20:00:00,2019,10,14,2,20,3,16
664,2019-10-14 21:00:00,2019,10,14,2,21,3,18
666,2019-10-14 22:00:00,2019,10,14,2,22,3,18
668,2019-10-14 23:00:00,2019,10,14,2,23,3,18
670,2019-10-15 00:00:00,2019,10,15,2,0,0,17
672,2019-10-15 01:00:00,2019,10,15,2,1,0,13
674,2019-10-15 02:00:00,2019,10,15,2,2,0,12
676,2019-10-15 03:00:00,2019,10,15,2,3,0,12
678,2019-10-15 04:00:00,2019,10,15,2,4,0,11
680,2019-10-15 05:00:00,2019,10,15,2,5,0,11
682,2019-10-15 06:00:00,2019,10,15,2,6,1,13
684,2019-10-15 07:00:00,2019,10,15,2,7,1,14
686,2019-10-15 08:00:00,2019,10,15,2,8,1,17
688,2019-10-15 09:00:00,2019,10,15,2,9,1,15
690,2019-10-15 10:00:00,2019,10,15,2,10,1,12
692,2019-10-15 11:00:00,2019,10,15,2,11,1,12
694,2019-10-15 12:00:00,2019,10,15,2,12,2,11
696,2019-10-15 13:00:00,2019,10,15,2,13,2,10
698,2019-10-15 14:00:00,2019,10,15,2,14,2,10
700,2019-10-15 15:00:00,2019,10,15,2,15,2,10
702,2019-10-15 16:00:00,2019,10,15,2,16,2,10
704,2019-10-15 17:00:00,2019,10,15,2,17,2,10
706,2019-10-15 18:00:00,2019,10,15,2,18,3,11
708,2019-10-15 19:00:00,2019,10,15,2,19,3,16
710,2019-10-15 20:00:00,2019,10,15,2,20,3,19
712,2019-10-15 21:00:00,2019,10,15,2,21,3,22
714,2019-10-15 22:00:00,2019,10,15,2,22,3,25
716,2019-10-15 23:00:00,2019,10,15,2,23,3,24
718,2019-10-16 00:00:00,2019,10,16,2,0,0,22
720,2019-10-16 01:00:00,2019,10,16,2,1,0,19
722,2019-10-16 02:00:00,2019,10,16,2,2,0,16
724,2019-10-16 03:00:00,2019,10,16,2,3,0,15
726,2019-10-16 04:00:00,2019,10,16,2,4,0,15
728,2019-10-16 05:00:00,2019,10,16,2,5,0,16
730,2019-10-16 06:00:00,2019,10,16,2,6,1,17
732,2019-10-16 07:00:00,2019,10,16,2,7,1,17
734,2019-10-16 08:00:00,2019,10,16,2,8,1,21
736,2019-10-16 09:00:00,2019,10,16,2,9,1,16
738,2019-10-16 10:00:00,2019,10,16,2,10,1,12
740,2019-10-16 11:00:00,2019,10,16,2,11,1,12
742,2019-10-16 12:00:00,2019,10,16,2,12,2,11
744,2019-10-16 13:00:00,2019,10,16,2,13,2,10
746,2019-10-16 14:00:00,2019,10,16,2,14,2,11
748,2019-10-16 15:00:00,2019,10,16,2,15,2,9
750,2019-10-16 16:00:00,2019,10,16,2,16,2,9
752,2019-10-16 17:00:00,2019,10,16,2,17,2,11
754,2019-10-16 18:00:00,2019,10,16,2,18,3,11
756,2019-10-16 19:00:00,2019,10,16,2,19,3,15
758,2019-10-16 20:00:00,2019,10,16,2,20,3,19
760,2019-10-16 21:00:00,2019,10,16,2,21,3,21
762,2019-10-16 22:00:00,2019,10,16,2,22,3,23
764,2019-10-16 23:00:00,2019,10,16,2,23,3,23
766,2019-10-17 00:00:00,2019,10,17,2,0,0,22
768,2019-10-17 01:00:00,2019,10,17,2,1,0,20
770,2019-10-17 02:00:00,2019,10,17,2,2,0,21
772,2019-10-17 03:00:00,2019,10,17,2,3,0,19
774,2019-10-17 04:00:00,2019,10,17,2,4,0,20
776,2019-10-17 05:00:00,2019,10,17,2,5,0,17
778,2019-10-17 06:00:00,2019,10,17,2,6,1,18
780,2019-10-17 07:00:00,2019,10,17,2,7,1,18
782,2019-10-17 08:00:00,2019,10,17,2,8,1,22
784,2019-10-17 09:00:00,2019,10,17,2,9,1,18
786,2019-10-17 10:00:00,2019,10,17,2,10,1,13
788,2019-10-17 11:00:00,2019,10,17,2,11,1,14
790,2019-10-17 12:00:00,2019,10,17,2,12,2,13
792,2019-10-17 13:00:00,2019,10,17,2,13,2,13
794,2019-10-17 14:00:00,2019,10,17,2,14,2,11
796,2019-10-17 15:00:00,2019,10,17,2,15,2,12
798,2019-10-17 16:00:00,2019,10,17,2,16,2,10
800,2019-10-17 17:00:00,2019,10,17,2,17,2,12
802,2019-10-17 18:00:00,2019,10,17,2,18,3,14
804,2019-10-17 19:00:00,2019,10,17,2,19,3,18
806,2019-10-17 20:00:00,2019,10,17,2,20,3,19
808,2019-10-17 21:00:00,2019,10,17,2,21,3,23
810,2019-10-17 22:00:00,2019,10,17,2,22,3,24
812,2019-10-17 23:00:00,2019,10,17,2,23,3,23
814,2019-10-18 00:00:00,2019,10,18,2,0,0,22
816,2019-10-18 01:00:00,2019,10,18,2,1,0,19
818,2019-10-18 02:00:00,2019,10,18,2,2,0,18
820,2019-10-18 03:00:00,2019,10,18,2,3,0,16
822,2019-10-18 04:00:00,2019,10,18,2,4,0,15
824,2019-10-18 05:00:00,2019,10,18,2,5,0,16
826,2019-10-18 06:00:00,2019,10,18,2,6,1,14
828,2019-10-18 07:00:00,2019,10,18,2,7,1,17
830,2019-10-18 08:00:00,2019,10,18,2,8,1,18
832,2019-10-18 09:00:00,2019,10,18,2,9,1,16
834,2019-10-18 10:00:00,2019,10,18,2,10,1,16
836,2019-10-18 11:00:00,2019,10,18,2,11,1,16
838,2019-10-18 12:00:00,2019,10,18,2,12,2,14
840,2019-10-18 13:00:00,2019,10,18,2,13,2,13
842,2019-10-18 14:00:00,2019,10,18,2,14,2,15
844,2019-10-18 15:00:00,2019,10,18,2,15,2,13
846,2019-10-18 16:00:00,2019,10,18,2,16,2,14
848,2019-10-18 17:00:00,2019,10,18,2,17,2,16
850,2019-10-18 18:00:00,2019,10,18,2,18,3,18
852,2019-10-18 19:00:00,2019,10,18,2,19,3,21
854,2019-10-18 20:00:00,2019,10,18,2,20,3,21
856,2019-10-18 21:00:00,2019,10,18,2,21,3,23
858,2019-10-18 22:00:00,2019,10,18,2,22,3,24
860,2019-10-18 23:00:00,2019,10,18,2,23,3,22
862,2019-10-19 00:00:00,2019,10,19,2,0,0,22
864,2019-10-19 01:00:00,2019,10,19,2,1,0,19
866,2019-10-19 02:00:00,2019,10,19,2,2,0,17
868,2019-10-19 03:00:00,2019,10,19,2,3,0,16
870,2019-10-19 04:00:00,2019,10,19,2,4,0,16
872,2019-10-19 05:00:00,2019,10,19,2,5,0,15
