,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,CHEONGJU
544,2019-10-12 09:00:00,2019,10,12,2,9,1,32
546,2019-10-12 10:00:00,2019,10,12,2,10,1,29
548,2019-10-12 11:00:00,2019,10,12,2,11,1,32
550,2019-10-12 12:00:00,2019,10,12,2,12,2,27
552,2019-10-12 13:00:00,2019,10,12,2,13,2,23
554,2019-10-12 14:00:00,2019,10,12,2,14,2,26
556,2019-10-12 15:00:00,2019,10,12,2,15,2,21
558,2019-10-12 16:00:00,2019,10,12,2,16,2,23
560,2019-10-12 17:00:00,2019,10,12,2,17,2,22
562,2019-10-12 18:00:00,2019,10,12,2,18,3,29
564,2019-10-12 19:00:00,2019,10,12,2,19,3,34
566,2019-10-12 20:00:00,2019,10,12,2,20,3,38
568,2019-10-12 21:00:00,2019,10,12,2,21,3,41
570,2019-10-12 22:00:00,2019,10,12,2,22,3,47
572,2019-10-12 23:00:00,2019,10,12,2,23,3,42
574,2019-10-13 00:00:00,2019,10,13,2,0,0,40
576,2019-10-13 01:00:00,2019,10,13,2,1,0,35
578,2019-10-13 02:00:00,2019,10,13,2,2,0,31
580,2019-10-13 03:00:00,2019,10,13,2,3,0,28
582,2019-10-13 04:00:00,2019,10,13,2,4,0,28
584,2019-10-13 05:00:00,2019,10,13,2,5,0,27
586,2019-10-13 06:00:00,2019,10,13,2,6,1,29
588,2019-10-13 07:00:00,2019,10,13,2,7,1,27
590,2019-10-13 08:00:00,2019,10,13,2,8,1,30
592,2019-10-13 09:00:00,2019,10,13,2,9,1,30
594,2019-10-13 10:00:00,2019,10,13,2,10,1,30
596,2019-10-13 11:00:00,2019,10,13,2,11,1,29
598,2019-10-13 12:00:00,2019,10,13,2,12,2,25
600,2019-10-13 13:00:00,2019,10,13,2,13,2,24
602,2019-10-13 14:00:00,2019,10,13,2,14,2,23
604,2019-10-13 15:00:00,2019,10,13,2,15,2,19
606,2019-10-13 16:00:00,2019,10,13,2,16,2,15
608,2019-10-13 17:00:00,2019,10,13,2,17,2,20
610,2019-10-13 18:00:00,2019,10,13,2,18,3,25
612,2019-10-13 19:00:00,2019,10,13,2,19,3,33
614,2019-10-13 20:00:00,2019,10,13,2,20,3,40
616,2019-10-13 21:00:00,2019,10,13,2,21,3,46
618,2019-10-13 22:00:00,2019,10,13,2,22,3,47
620,2019-10-13 23:00:00,2019,10,13,2,23,3,38
622,2019-10-14 00:00:00,2019,10,14,2,0,0,35
624,2019-10-14 01:00:00,2019,10,14,2,1,0,30
626,2019-10-14 02:00:00,2019,10,14,2,2,0,25
628,2019-10-14 03:00:00,2019,10,14,2,3,0,20
630,2019-10-14 04:00:00,2019,10,14,2,4,0,22
632,2019-10-14 05:00:00,2019,10,14,2,5,0,24
634,2019-10-14 06:00:00,2019,10,14,2,6,1,24
636,2019-10-14 07:00:00,2019,10,14,2,7,1,36
638,2019-10-14 08:00:00,2019,10,14,2,8,1,47
640,2019-10-14 09:00:00,2019,10,14,2,9,1,37
642,2019-10-14 10:00:00,2019,10,14,2,10,1,26
644,2019-10-14 11:00:00,2019,10,14,2,11,1,22
646,2019-10-14 12:00:00,2019,10,14,2,12,2,20
648,2019-10-14 13:00:00,2019,10,14,2,13,2,20
650,2019-10-14 14:00:00,2019,10,14,2,14,2,18
652,2019-10-14 15:00:00,2019,10,14,2,15,2,18
654,2019-10-14 16:00:00,2019,10,14,2,16,2,19
656,2019-10-14 17:00:00,2019,10,14,2,17,2,20
658,2019-10-14 18:00:00,2019,10,14,2,18,3,27
660,2019-10-14 19:00:00,2019,10,14,2,19,3,42
662,2019-10-14 20:00:00,2019,10,14,2,20,3,55
664,2019-10-14 21:00:00,2019,10,14,2,21,3,58
666,2019-10-14 22:00:00,2019,10,14,2,22,3,62
668,2019-10-14 23:00:00,2019,10,14,2,23,3,55
670,2019-10-15 00:00:00,2019,10,15,2,0,0,47
672,2019-10-15 01:00:00,2019,10,15,2,1,0,41
674,2019-10-15 02:00:00,2019,10,15,2,2,0,34
676,2019-10-15 03:00:00,2019,10,15,2,3,0,32
678,2019-10-15 04:00:00,2019,10,15,2,4,0,30
680,2019-10-15 05:00:00,2019,10,15,2,5,0,30
682,2019-10-15 06:00:00,2019,10,15,2,6,1,29
684,2019-10-15 07:00:00,2019,10,15,2,7,1,38
686,2019-10-15 08:00:00,2019,10,15,2,8,1,47
688,2019-10-15 09:00:00,2019,10,15,2,9,1,40
690,2019-10-15 10:00:00,2019,10,15,2,10,1,34
692,2019-10-15 11:00:00,2019,10,15,2,11,1,19
694,2019-10-15 12:00:00,2019,10,15,2,12,2,16
696,2019-10-15 13:00:00,2019,10,15,2,13,2,12
698,2019-10-15 14:00:00,2019,10,15,2,14,2,19
700,2019-10-15 15:00:00,2019,10,15,2,15,2,22
702,2019-10-15 16:00:00,2019,10,15,2,16,2,23
704,2019-10-15 17:00:00,2019,10,15,2,17,2,21
706,2019-10-15 18:00:00,2019,10,15,2,18,3,27
708,2019-10-15 19:00:00,2019,10,15,2,19,3,41
710,2019-10-15 20:00:00,2019,10,15,2,20,3,50
712,2019-10-15 21:00:00,2019,10,15,2,21,3,59
714,2019-10-15 22:00:00,2019,10,15,2,22,3,62
716,2019-10-15 23:00:00,2019,10,15,2,23,3,60
718,2019-10-16 00:00:00,2019,10,16,2,0,0,49
720,2019-10-16 01:00:00,2019,10,16,2,1,0,42
722,2019-10-16 02:00:00,2019,10,16,2,2,0,37
724,2019-10-16 03:00:00,2019,10,16,2,3,0,36
726,2019-10-16 04:00:00,2019,10,16,2,4,0,33
728,2019-10-16 05:00:00,2019,10,16,2,5,0,35
730,2019-10-16 06:00:00,2019,10,16,2,6,1,34
732,2019-10-16 07:00:00,2019,10,16,2,7,1,44
734,2019-10-16 08:00:00,2019,10,16,2,8,1,55
736,2019-10-16 09:00:00,2019,10,16,2,9,1,40
738,2019-10-16 10:00:00,2019,10,16,2,10,1,27
740,2019-10-16 11:00:00,2019,10,16,2,11,1,29
742,2019-10-16 12:00:00,2019,10,16,2,12,2,24
744,2019-10-16 13:00:00,2019,10,16,2,13,2,24
746,2019-10-16 14:00:00,2019,10,16,2,14,2,34
748,2019-10-16 15:00:00,2019,10,16,2,15,2,17
750,2019-10-16 16:00:00,2019,10,16,2,16,2,16
752,2019-10-16 17:00:00,2019,10,16,2,17,2,18
754,2019-10-16 18:00:00,2019,10,16,2,18,3,37
756,2019-10-16 19:00:00,2019,10,16,2,19,3,44
758,2019-10-16 20:00:00,2019,10,16,2,20,3,52
760,2019-10-16 21:00:00,2019,10,16,2,21,3,60
762,2019-10-16 22:00:00,2019,10,16,2,22,3,58
764,2019-10-16 23:00:00,2019,10,16,2,23,3,51
766,2019-10-17 00:00:00,2019,10,17,2,0,0,46
768,2019-10-17 01:00:00,2019,10,17,2,1,0,39
770,2019-10-17 02:00:00,2019,10,17,2,2,0,39
772,2019-10-17 03:00:00,2019,10,17,2,3,0,37
774,2019-10-17 04:00:00,2019,10,17,2,4,0,29
776,2019-10-17 05:00:00,2019,10,17,2,5,0,31
778,2019-10-17 06:00:00,2019,10,17,2,6,1,34
780,2019-10-17 07:00:00,2019,10,17,2,7,1,32
782,2019-10-17 08:00:00,2019,10,17,2,8,1,57
784,2019-10-17 09:00:00,2019,10,17,2,9,1,38
786,2019-10-17 10:00:00,2019,10,17,2,10,1,26
788,2019-10-17 11:00:00,2019,10,17,2,11,1,25
790,2019-10-17 12:00:00,2019,10,17,2,12,2,17
792,2019-10-17 13:00:00,2019,10,17,2,13,2,22
794,2019-10-17 14:00:00,2019,10,17,2,14,2,21
796,2019-10-17 15:00:00,2019,10,17,2,15,2,16
798,2019-10-17 16:00:00,2019,10,17,2,16,2,15
800,2019-10-17 17:00:00,2019,10,17,2,17,2,20
802,2019-10-17 18:00:00,2019,10,17,2,18,3,28
804,2019-10-17 19:00:00,2019,10,17,2,19,3,42
806,2019-10-17 20:00:00,2019,10,17,2,20,3,41
808,2019-10-17 21:00:00,2019,10,17,2,21,3,46
810,2019-10-17 22:00:00,2019,10,17,2,22,3,59
812,2019-10-17 23:00:00,2019,10,17,2,23,3,59
814,2019-10-18 00:00:00,2019,10,18,2,0,0,56
816,2019-10-18 01:00:00,2019,10,18,2,1,0,46
818,2019-10-18 02:00:00,2019,10,18,2,2,0,42
820,2019-10-18 03:00:00,2019,10,18,2,3,0,40
822,2019-10-18 04:00:00,2019,10,18,2,4,0,41
824,2019-10-18 05:00:00,2019,10,18,2,5,0,41
826,2019-10-18 06:00:00,2019,10,18,2,6,1,45
828,2019-10-18 07:00:00,2019,10,18,2,7,1,46
830,2019-10-18 08:00:00,2019,10,18,2,8,1,61
832,2019-10-18 09:00:00,2019,10,18,2,9,1,45
834,2019-10-18 10:00:00,2019,10,18,2,10,1,30
836,2019-10-18 11:00:00,2019,10,18,2,11,1,29
838,2019-10-18 12:00:00,2019,10,18,2,12,2,31
840,2019-10-18 13:00:00,2019,10,18,2,13,2,30
842,2019-10-18 14:00:00,2019,10,18,2,14,2,28
844,2019-10-18 15:00:00,2019,10,18,2,15,2,20
846,2019-10-18 16:00:00,2019,10,18,2,16,2,29
848,2019-10-18 17:00:00,2019,10,18,2,17,2,26
850,2019-10-18 18:00:00,2019,10,18,2,18,3,37
852,2019-10-18 19:00:00,2019,10,18,2,19,3,49
854,2019-10-18 20:00:00,2019,10,18,2,20,3,55
856,2019-10-18 21:00:00,2019,10,18,2,21,3,57
858,2019-10-18 22:00:00,2019,10,18,2,22,3,57
860,2019-10-18 23:00:00,2019,10,18,2,23,3,55
862,2019-10-19 00:00:00,2019,10,19,2,0,0,54
864,2019-10-19 01:00:00,2019,10,19,2,1,0,46
866,2019-10-19 02:00:00,2019,10,19,2,2,0,39
868,2019-10-19 03:00:00,2019,10,19,2,3,0,37
870,2019-10-19 04:00:00,2019,10,19,2,4,0,35
872,2019-10-19 05:00:00,2019,10,19,2,5,0,34
874,2019-10-19 06:00:00,2019,10,19,2,6,1,36
876,2019-10-19 07:00:00,2019,10,19,2,7,1,37
878,2019-10-19 08:00:00,2019,10,19,2,8,1,40
880,2019-10-19 09:00:00,2019,10,19,2,9,1,38
882,2019-10-19 10:00:00,2019,10,19,2,10,1,38
884,2019-10-19 11:00:00,2019,10,19,2,11,1,37
886,2019-10-19 12:00:00,2019,10,19,2,12,2,33
888,2019-10-19 13:00:00,2019,10,19,2,13,2,27
890,2019-10-19 14:00:00,2019,10,19,2,14,2,29
892,2019-10-19 15:00:00,2019,10,19,2,15,2,21
894,2019-10-19 16:00:00,2019,10,19,2,16,2,19
896,2019-10-19 17:00:00,2019,10,19,2,17,2,24
898,2019-10-19 18:00:00,2019,10,19,2,18,3,35
900,2019-10-19 19:00:00,2019,10,19,2,19,3,38
902,2019-10-19 20:00:00,2019,10,19,2,20,3,37
904,2019-10-19 21:00:00,2019,10,19,2,21,3,46
906,2019-10-19 22:00:00,2019,10,19,2,22,3,51
908,2019-10-19 23:00:00,2019,10,19,2,23,3,49
910,2019-10-20 00:00:00,2019,10,20,2,0,0,47
912,2019-10-20 01:00:00,2019,10,20,2,1,0,36
914,2019-10-20 02:00:00,2019,10,20,2,2,0,32
916,2019-10-20 03:00:00,2019,10,20,2,3,0,35
