,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,YANGSAN
606,2019-10-13 16:00:00,2019,10,13,2,16,2,12
608,2019-10-13 17:00:00,2019,10,13,2,17,2,15
610,2019-10-13 18:00:00,2019,10,13,2,18,3,17
612,2019-10-13 19:00:00,2019,10,13,2,19,3,24
614,2019-10-13 20:00:00,2019,10,13,2,20,3,29
616,2019-10-13 21:00:00,2019,10,13,2,21,3,27
618,2019-10-13 22:00:00,2019,10,13,2,22,3,28
620,2019-10-13 23:00:00,2019,10,13,2,23,3,25
622,2019-10-14 00:00:00,2019,10,14,2,0,0,20
624,2019-10-14 01:00:00,2019,10,14,2,1,0,18
626,2019-10-14 02:00:00,2019,10,14,2,2,0,17
628,2019-10-14 03:00:00,2019,10,14,2,3,0,15
630,2019-10-14 04:00:00,2019,10,14,2,4,0,16
632,2019-10-14 05:00:00,2019,10,14,2,5,0,17
634,2019-10-14 06:00:00,2019,10,14,2,6,1,15
636,2019-10-14 07:00:00,2019,10,14,2,7,1,22
638,2019-10-14 08:00:00,2019,10,14,2,8,1,30
640,2019-10-14 09:00:00,2019,10,14,2,9,1,19
642,2019-10-14 10:00:00,2019,10,14,2,10,1,13
644,2019-10-14 11:00:00,2019,10,14,2,11,1,13
646,2019-10-14 12:00:00,2019,10,14,2,12,2,12
648,2019-10-14 13:00:00,2019,10,14,2,13,2,12
650,2019-10-14 14:00:00,2019,10,14,2,14,2,10
652,2019-10-14 15:00:00,2019,10,14,2,15,2,10
654,2019-10-14 16:00:00,2019,10,14,2,16,2,12
656,2019-10-14 17:00:00,2019,10,14,2,17,2,13
658,2019-10-14 18:00:00,2019,10,14,2,18,3,15
660,2019-10-14 19:00:00,2019,10,14,2,19,3,20
662,2019-10-14 20:00:00,2019,10,14,2,20,3,24
664,2019-10-14 21:00:00,2019,10,14,2,21,3,27
666,2019-10-14 22:00:00,2019,10,14,2,22,3,28
668,2019-10-14 23:00:00,2019,10,14,2,23,3,25
670,2019-10-15 00:00:00,2019,10,15,2,0,0,20
672,2019-10-15 01:00:00,2019,10,15,2,1,0,20
674,2019-10-15 02:00:00,2019,10,15,2,2,0,18
676,2019-10-15 03:00:00,2019,10,15,2,3,0,15
678,2019-10-15 04:00:00,2019,10,15,2,4,0,16
680,2019-10-15 05:00:00,2019,10,15,2,5,0,18
682,2019-10-15 06:00:00,2019,10,15,2,6,1,17
684,2019-10-15 07:00:00,2019,10,15,2,7,1,23
686,2019-10-15 08:00:00,2019,10,15,2,8,1,27
688,2019-10-15 09:00:00,2019,10,15,2,9,1,19
690,2019-10-15 10:00:00,2019,10,15,2,10,1,14
692,2019-10-15 11:00:00,2019,10,15,2,11,1,13
694,2019-10-15 12:00:00,2019,10,15,2,12,2,13
696,2019-10-15 13:00:00,2019,10,15,2,13,2,15
698,2019-10-15 14:00:00,2019,10,15,2,14,2,15
700,2019-10-15 15:00:00,2019,10,15,2,15,2,11
702,2019-10-15 16:00:00,2019,10,15,2,16,2,11
704,2019-10-15 17:00:00,2019,10,15,2,17,2,14
706,2019-10-15 18:00:00,2019,10,15,2,18,3,19
708,2019-10-15 19:00:00,2019,10,15,2,19,3,22
710,2019-10-15 20:00:00,2019,10,15,2,20,3,26
712,2019-10-15 21:00:00,2019,10,15,2,21,3,30
714,2019-10-15 22:00:00,2019,10,15,2,22,3,31
716,2019-10-15 23:00:00,2019,10,15,2,23,3,26
718,2019-10-16 00:00:00,2019,10,16,2,0,0,25
720,2019-10-16 01:00:00,2019,10,16,2,1,0,22
722,2019-10-16 02:00:00,2019,10,16,2,2,0,17
724,2019-10-16 03:00:00,2019,10,16,2,3,0,18
726,2019-10-16 04:00:00,2019,10,16,2,4,0,18
728,2019-10-16 05:00:00,2019,10,16,2,5,0,17
730,2019-10-16 06:00:00,2019,10,16,2,6,1,16
732,2019-10-16 07:00:00,2019,10,16,2,7,1,23
734,2019-10-16 08:00:00,2019,10,16,2,8,1,28
736,2019-10-16 09:00:00,2019,10,16,2,9,1,24
738,2019-10-16 10:00:00,2019,10,16,2,10,1,13
740,2019-10-16 11:00:00,2019,10,16,2,11,1,15
742,2019-10-16 12:00:00,2019,10,16,2,12,2,15
744,2019-10-16 13:00:00,2019,10,16,2,13,2,13
746,2019-10-16 14:00:00,2019,10,16,2,14,2,12
748,2019-10-16 15:00:00,2019,10,16,2,15,2,12
750,2019-10-16 16:00:00,2019,10,16,2,16,2,11
752,2019-10-16 17:00:00,2019,10,16,2,17,2,14
754,2019-10-16 18:00:00,2019,10,16,2,18,3,17
756,2019-10-16 19:00:00,2019,10,16,2,19,3,25
758,2019-10-16 20:00:00,2019,10,16,2,20,3,30
760,2019-10-16 21:00:00,2019,10,16,2,21,3,31
762,2019-10-16 22:00:00,2019,10,16,2,22,3,33
764,2019-10-16 23:00:00,2019,10,16,2,23,3,29
766,2019-10-17 00:00:00,2019,10,17,2,0,0,29
768,2019-10-17 01:00:00,2019,10,17,2,1,0,22
770,2019-10-17 02:00:00,2019,10,17,2,2,0,23
772,2019-10-17 03:00:00,2019,10,17,2,3,0,20
774,2019-10-17 04:00:00,2019,10,17,2,4,0,20
776,2019-10-17 05:00:00,2019,10,17,2,5,0,18
778,2019-10-17 06:00:00,2019,10,17,2,6,1,17
780,2019-10-17 07:00:00,2019,10,17,2,7,1,24
782,2019-10-17 08:00:00,2019,10,17,2,8,1,33
784,2019-10-17 09:00:00,2019,10,17,2,9,1,24
786,2019-10-17 10:00:00,2019,10,17,2,10,1,17
788,2019-10-17 11:00:00,2019,10,17,2,11,1,16
790,2019-10-17 12:00:00,2019,10,17,2,12,2,14
792,2019-10-17 13:00:00,2019,10,17,2,13,2,15
794,2019-10-17 14:00:00,2019,10,17,2,14,2,14
796,2019-10-17 15:00:00,2019,10,17,2,15,2,13
798,2019-10-17 16:00:00,2019,10,17,2,16,2,14
800,2019-10-17 17:00:00,2019,10,17,2,17,2,15
802,2019-10-17 18:00:00,2019,10,17,2,18,3,23
804,2019-10-17 19:00:00,2019,10,17,2,19,3,25
806,2019-10-17 20:00:00,2019,10,17,2,20,3,30
808,2019-10-17 21:00:00,2019,10,17,2,21,3,33
810,2019-10-17 22:00:00,2019,10,17,2,22,3,33
812,2019-10-17 23:00:00,2019,10,17,2,23,3,27
814,2019-10-18 00:00:00,2019,10,18,2,0,0,22
816,2019-10-18 01:00:00,2019,10,18,2,1,0,22
818,2019-10-18 02:00:00,2019,10,18,2,2,0,18
820,2019-10-18 03:00:00,2019,10,18,2,3,0,17
822,2019-10-18 04:00:00,2019,10,18,2,4,0,18
824,2019-10-18 05:00:00,2019,10,18,2,5,0,17
826,2019-10-18 06:00:00,2019,10,18,2,6,1,14
828,2019-10-18 07:00:00,2019,10,18,2,7,1,21
830,2019-10-18 08:00:00,2019,10,18,2,8,1,30
832,2019-10-18 09:00:00,2019,10,18,2,9,1,24
834,2019-10-18 10:00:00,2019,10,18,2,10,1,20
836,2019-10-18 11:00:00,2019,10,18,2,11,1,19
838,2019-10-18 12:00:00,2019,10,18,2,12,2,18
840,2019-10-18 13:00:00,2019,10,18,2,13,2,18
842,2019-10-18 14:00:00,2019,10,18,2,14,2,18
844,2019-10-18 15:00:00,2019,10,18,2,15,2,18
846,2019-10-18 16:00:00,2019,10,18,2,16,2,19
848,2019-10-18 17:00:00,2019,10,18,2,17,2,21
850,2019-10-18 18:00:00,2019,10,18,2,18,3,27
852,2019-10-18 19:00:00,2019,10,18,2,19,3,30
854,2019-10-18 20:00:00,2019,10,18,2,20,3,33
856,2019-10-18 21:00:00,2019,10,18,2,21,3,35
858,2019-10-18 22:00:00,2019,10,18,2,22,3,32
860,2019-10-18 23:00:00,2019,10,18,2,23,3,33
862,2019-10-19 00:00:00,2019,10,19,2,0,0,22
864,2019-10-19 01:00:00,2019,10,19,2,1,0,22
866,2019-10-19 02:00:00,2019,10,19,2,2,0,25
868,2019-10-19 03:00:00,2019,10,19,2,3,0,20
870,2019-10-19 04:00:00,2019,10,19,2,4,0,20
872,2019-10-19 05:00:00,2019,10,19,2,5,0,20
874,2019-10-19 06:00:00,2019,10,19,2,6,1,17
876,2019-10-19 07:00:00,2019,10,19,2,7,1,22
878,2019-10-19 08:00:00,2019,10,19,2,8,1,22
880,2019-10-19 09:00:00,2019,10,19,2,9,1,24
882,2019-10-19 10:00:00,2019,10,19,2,10,1,24
884,2019-10-19 11:00:00,2019,10,19,2,11,1,21
886,2019-10-19 12:00:00,2019,10,19,2,12,2,21
888,2019-10-19 13:00:00,2019,10,19,2,13,2,17
890,2019-10-19 14:00:00,2019,10,19,2,14,2,17
892,2019-10-19 15:00:00,2019,10,19,2,15,2,16
894,2019-10-19 16:00:00,2019,10,19,2,16,2,15
896,2019-10-19 17:00:00,2019,10,19,2,17,2,16
898,2019-10-19 18:00:00,2019,10,19,2,18,3,18
900,2019-10-19 19:00:00,2019,10,19,2,19,3,23
902,2019-10-19 20:00:00,2019,10,19,2,20,3,22
904,2019-10-19 21:00:00,2019,10,19,2,21,3,24
906,2019-10-19 22:00:00,2019,10,19,2,22,3,23
908,2019-10-19 23:00:00,2019,10,19,2,23,3,24
910,2019-10-20 00:00:00,2019,10,20,2,0,0,24
912,2019-10-20 01:00:00,2019,10,20,2,1,0,21
914,2019-10-20 02:00:00,2019,10,20,2,2,0,21
916,2019-10-20 03:00:00,2019,10,20,2,3,0,15
918,2019-10-20 04:00:00,2019,10,20,2,4,0,17
